level_0,index,Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
10,10,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.0. The second has a moment magnitude of 6.0. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,10 x,30 x,100 x,"1,000 x",,,,,,,,,,,,,,,,,,,,,,,,
11,11,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.1. The second has a moment magnitude of 8.1. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,"10,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
12,12,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.2. The second has a moment magnitude of 5.2. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,10 x,30 x,"33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
13,13,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.3. The second has a moment magnitude of 5.3. Roughly how much more energy was released in the second earthquake compared to the first?,2,3 x,30 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
14,14,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.4. The second has a moment magnitude of 7.4. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,30 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
15,15,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.5. The second has a moment magnitude of 7.5. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,100 x,"10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
16,16,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.6. The second has a moment magnitude of 8.6. Roughly how much more energy was released in the second earthquake compared to the first?,5,10 x,30 x,"10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
17,17,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.7. The second has a moment magnitude of 7.7. Roughly how much more energy was released in the second earthquake compared to the first?,4,10 x,30 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
18,18,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.8. The second has a moment magnitude of 5.8. Roughly how much more energy was released in the second earthquake compared to the first?,1,30 x,"1,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
19,19,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 4.9. The second has a moment magnitude of 7.9. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,30 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
20,20,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.0. The second has a moment magnitude of 8.0. Roughly how much more energy was released in the second earthquake compared to the first?,4,10 x,100 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
21,21,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.1. The second has a moment magnitude of 7.1. Roughly how much more energy was released in the second earthquake compared to the first?,2,30 x,"1,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
22,22,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.2. The second has a moment magnitude of 9.2. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,"1,000 x","10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
23,23,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.3. The second has a moment magnitude of 6.3. Roughly how much more energy was released in the second earthquake compared to the first?,2,3 x,30 x,"33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
24,24,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.4. The second has a moment magnitude of 6.4. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,10 x,30 x,100 x,"10,000 x",,,,,,,,,,,,,,,,,,,,,,,,
25,25,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.5. The second has a moment magnitude of 9.5. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,"1,000 x","10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
26,26,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.6. The second has a moment magnitude of 7.6. Roughly how much more energy was released in the second earthquake compared to the first?,3,30 x,100 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
27,27,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.7. The second has a moment magnitude of 6.7. Roughly how much more energy was released in the second earthquake compared to the first?,2,10 x,30 x,100 x,"10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
28,28,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.8. The second has a moment magnitude of 6.8. Roughly how much more energy was released in the second earthquake compared to the first?,2,10 x,30 x,"10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
29,29,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 5.9. The second has a moment magnitude of 6.9. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,10 x,30 x,100 x,"1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
30,30,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.0. The second has a moment magnitude of 7.0. Roughly how much more energy was released in the second earthquake compared to the first?,5,10 x,100 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
31,31,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.1. The second has a moment magnitude of 9.1. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,10 x,30 x,"1,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
32,32,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.2. The second has a moment magnitude of 9.2. Roughly how much more energy was released in the second earthquake compared to the first?,3,10 x,"1,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
33,33,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.3. The second has a moment magnitude of 8.3. Roughly how much more energy was released in the second earthquake compared to the first?,5,30 x,100 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
34,34,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.4. The second has a moment magnitude of 7.4. Roughly how much more energy was released in the second earthquake compared to the first?,5,3 x,100 x,"10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
35,35,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.5. The second has a moment magnitude of 9.5. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,100 x,"33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
36,36,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.6. The second has a moment magnitude of 7.6. Roughly how much more energy was released in the second earthquake compared to the first?,2,3 x,30 x,100 x,"1,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
37,37,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.7. The second has a moment magnitude of 7.7. Roughly how much more energy was released in the second earthquake compared to the first?,5,30 x,100 x,"10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
38,38,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.8. The second has a moment magnitude of 7.8. Roughly how much more energy was released in the second earthquake compared to the first?,3,3 x,10 x,30 x,100 x,"100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
39,39,MC,Energy scale,1,Two earthquakes occur in a city. The first has a moment magnitude of 6.9. The second has a moment magnitude of 9.9. Roughly how much more energy was released in the second earthquake compared to the first?,4,3 x,100 x,"1,000 x","33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
