index,Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
11,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.1 on the Richter scale. The second measures 8.1. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,100 x,"1,000 x","10,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
12,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.2 on the Richter scale. The second measures 5.2. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,"1,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
13,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.3 on the Richter scale. The second measures 5.3. How much larger is the amplitude of shaking in the second earthquake compared to the first?,1,10 x,100 x,"1,000 x","10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
14,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.4 on the Richter scale. The second measures 7.4. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,30 x,"1,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
15,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.5 on the Richter scale. The second measures 7.5. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,100 x,"1,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
16,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.6 on the Richter scale. The second measures 8.6. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,100 x,"10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
17,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.7 on the Richter scale. The second measures 7.7. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,10 x,30 x,100 x,"1,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
18,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.8 on the Richter scale. The second measures 5.8. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,"100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
19,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 4.9 on the Richter scale. The second measures 7.9. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,"1,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
20,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.0 on the Richter scale. The second measures 8.0. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,10 x,30 x,"1,000 x","10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
21,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.1 on the Richter scale. The second measures 7.1. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,3 x,30 x,100 x,"1,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
22,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.2 on the Richter scale. The second measures 9.2. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,10 x,100 x,"1,000 x","10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
23,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.3 on the Richter scale. The second measures 6.3. How much larger is the amplitude of shaking in the second earthquake compared to the first?,1,10 x,30 x,"10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
24,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.4 on the Richter scale. The second measures 6.4. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,"33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
25,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.5 on the Richter scale. The second measures 9.5. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,30 x,"10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
26,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.6 on the Richter scale. The second measures 7.6. How much larger is the amplitude of shaking in the second earthquake compared to the first?,1,100 x,"10,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
27,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.7 on the Richter scale. The second measures 6.7. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,100 x,"33,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
28,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.8 on the Richter scale. The second measures 6.8. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,"1,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
29,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 5.9 on the Richter scale. The second measures 6.9. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,30 x,"33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
30,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.0 on the Richter scale. The second measures 7.0. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,10 x,30 x,100 x,"10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
31,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.1 on the Richter scale. The second measures 9.1. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,100 x,"1,000 x","33,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
32,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.2 on the Richter scale. The second measures 9.2. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,100 x,"1,000 x","10,000 x",,,,,,,,,,,,,,,,,,,,,,,,
33,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.3 on the Richter scale. The second measures 8.3. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,100 x,"1,000 x","10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
34,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.4 on the Richter scale. The second measures 7.4. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,10 x,100 x,"10,000 x","33,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
35,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.5 on the Richter scale. The second measures 9.5. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,100 x,"1,000 x","10,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
36,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.6 on the Richter scale. The second measures 7.6. How much larger is the amplitude of shaking in the second earthquake compared to the first?,1,10 x,30 x,"1,000 x","10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
37,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.7 on the Richter scale. The second measures 7.7. How much larger is the amplitude of shaking in the second earthquake compared to the first?,4,3 x,10 x,30 x,"10,000 x","33,000 x",,,,,,,,,,,,,,,,,,,,,,,,
38,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.8 on the Richter scale. The second measures 7.8. How much larger is the amplitude of shaking in the second earthquake compared to the first?,2,3 x,10 x,"1,000 x","100,000 x","1,000,000 x",,,,,,,,,,,,,,,,,,,,,,,,
39,MC,Amplitude scale,1,Two earthquakes occur in a city. The first measures 6.9 on the Richter scale. The second measures 9.9. How much larger is the amplitude of shaking in the second earthquake compared to the first?,3,30 x,100 x,"1,000 x","10,000 x","100,000 x",,,,,,,,,,,,,,,,,,,,,,,,
